IncludedSite	BackupSite
11:12037287	-
10:77900991	-
2:157870364	-
9:78247738	-
1:8341641	-
18:56673646	-
5:101969020	-
5:38502092	-
5:123195141	-
9:63651766	-
16:70334792	-
16:33832109	-
8:120554886	-
10:76941153	-
7:28027946	-
4:45430631	-
17:57194022	-
2:85070864	-
3:28043909	-
11:77904089	-
17:11613492	-
19:21052353	-
4:155770830	-
11:120201542	-
15:62153678	-
17:57295581	-
13:40863087	-
5:122146413	-
4:63256978	-
15:85612139	-
3:36080389	-
15:82678851	-
3:27280114	-
7:112197176	-
18:38847118	-
5:123195181	-
19:44120597	-
11:117238705	-
19:46542852	-
18:5116396	-
19:46667319	-
7:27229377	-
3:8990509	-
19:10187987	-
1:179647057	-
3:51256504	-
15:86186088	-
8:116271418	-
2:177897545	-
3:9526191	-
4:135514889	-
4:16232787	-
1:30628104	-
6:53556152	-
1:73959153	-
17:80107578	-
9:46241170	-
5:113989469	-
7:98124917	-
6:134243544	-
11:61011246	-
17:45224518	-
3:30366924	-
14:55146948	-
3:95861315	-
4:148955470	-
1:167356513	-
14:27328836	-
8:70758826	-
6:101046644	-
3:108187168	-
8:34393134	-
13:51103246	-
5:125058049	-
8:70087129	-
4:135275382	-
8:119876758	-
10:127605998	-
17:86535730	-
2:35057396	-
4:137865860	-
19:42598114	-
12:76268858	-
7:19005226	-
7:28339793	-
7:141460537	-
6:86145252	-
7:98124847	-
8:110064733	-
9:121984556	-
1:135282173	-
4:93353243	-
11:103406825	-
15:89158599	-
5:148788630	-
16:6352760	-
18:35625983	-
8:120382545	-
19:4268706	-
9:14512582	-
16:87713074	-
11:113729319	-
14:65853465	-
8:84722520	-
3:121449932	-
6:112865952	-
11:119997577	-
6:146891251	-
6:127767929	-
2:179906007	-
5:28165766	-
13:53019624	-
4:154301592	-
4:8764582	-
16:30260873	-
5:66034802	-
5:135915732	-
5:93027198	-
19:3652157	-
8:84731629	-
7:139616125	-
15:27796405	-
11:101096038	-
4:125122364	-
9:88720486	-
11:82007190	-
6:85854482	-
10:73135476	-
9:56848939	-
18:24779767	-
6:136907645	-
11:79790680	-
17:85028615	-
14:120405239	-
11:4107071	-
11:95219373	-
9:102728466	-
6:144203733	-
6:90996713	-
13:59925941	-
9:43545013	-
5:124222801	-
12:111808397	-
15:40168252	-
11:120618750	-
1:138607275	-
5:146461718	-
6:91111456	-
10:80464601	-
14:20724343	-
6:108570695	-
1:135830783	-
5:125528704	-
3:155141185	-
16:78309817	-
6:31147950	-
7:4845032	-
12:69374682	-
5:33273105	-
2:62584982	-
4:151719628	-
10:80058469	-
11:100521271	-
18:53268089	-
4:128743442	-
2:133118891	-
11:20477838	-
14:20116494	-
11:94544639	-
5:134733524	-
17:80761033	-
11:120009434	-
7:115669879	-
11:104424168	-
19:36729207	-
7:81209083	-
4:134768858	-
3:96527451	-
17:15703763	-
11:96935299	-
1:53978370	-
6:90619481	-
16:5137061	-
11:120351042	-
13:97939606	-
8:119617365	-
4:118270206	-
17:31955280	-
7:24588594	-
7:98116548	-
10:80669070	-
6:39592128	-
10:87514997	-
6:88166191	-
18:61110050	-
13:40918662	-
19:42080168	-
9:109046585	-
5:28459663	-
10:60805876	-
11:104424189	-
4:141325797	-
14:66659070	-
16:93770714	-
15:96269461	-
7:44861019	-
19:41389519	-
3:116631012	-
2:30386812	-
8:123643517	-
11:3291139	-
4:139093335	-
1:153745071	-
17:32947043	-
7:99228249	-
14:57525749	-
5:139426929	-
5:121578381	-
3:121915122	-
9:42456753	-
2:174600158	-
17:84114572	-
11:75431457	-
11:116296169	-
11:61684674	-
11:60798100	-
4:63256983	-
10:101631186	-
6:72215754	-
13:37543129	-
17:56257743	-
11:86958737	-
6:91579859	-
6:91679250	-
15:59015266	-
16:31415350	-
